YEAR,REGION,AGE_GROUP,GENDER,GENDER_LABEL,POPULATION_INSEE,NB_DEPARTMENTS
2022,Centre-Val-de-Loire,20-39 ans,ALL,Ensemble,1656525,1
2022,Centre-Val-de-Loire,20-39 ans,F,F,829206,1
2022,Centre-Val-de-Loire,20-39 ans,M,M,827319,1
2022,Centre-Val-de-Loire,40-59 ans,ALL,Ensemble,1984620,1
2022,Centre-Val-de-Loire,40-59 ans,F,F,1007139,1
2022,Centre-Val-de-Loire,40-59 ans,M,M,977481,1
2022,Centre-Val-de-Loire,60-74 ans,ALL,Ensemble,1460103,1
2022,Centre-Val-de-Loire,60-74 ans,F,F,768690,1
2022,Centre-Val-de-Loire,60-74 ans,M,M,691413,1
2022,Centre-Val-de-Loire,75+ ans,ALL,Ensemble,852513,1
2022,Centre-Val-de-Loire,75+ ans,F,F,510591,1
2022,Centre-Val-de-Loire,75+ ans,M,M,341922,1
2022,Corse,0-19 ans,ALL,Ensemble,211626,1
2022,Corse,0-19 ans,F,F,103269,1
2022,Corse,0-19 ans,M,M,108357,1
2022,Corse,20-39 ans,ALL,Ensemble,229128,1
2022,Corse,20-39 ans,F,F,117267,1
2022,Corse,20-39 ans,M,M,111861,1
2022,Corse,40-59 ans,ALL,Ensemble,284844,1
2022,Corse,40-59 ans,F,F,145131,1
2022,Corse,40-59 ans,M,M,139713,1
2022,Corse,60-74 ans,ALL,Ensemble,204867,1
2022,Corse,60-74 ans,F,F,105966,1
2022,Corse,60-74 ans,M,M,98901,1
2022,Corse,75+ ans,ALL,Ensemble,123363,1
2022,Corse,75+ ans,F,F,71217,1
2022,Corse,75+ ans,M,M,52146,1
2022,DROM,0-19 ans,ALL,Ensemble,2106705,5
2022,DROM,0-19 ans,F,F,1045749,5
2022,DROM,0-19 ans,M,M,1060956,5
2022,DROM,20-39 ans,ALL,Ensemble,1516698,5
2022,DROM,20-39 ans,F,F,832311,5
2022,DROM,20-39 ans,M,M,684387,5
2022,DROM,40-59 ans,ALL,Ensemble,1685574,5
2022,DROM,40-59 ans,F,F,905766,5
2022,DROM,40-59 ans,M,M,779808,5
2022,DROM,60-74 ans,ALL,Ensemble,938112,5
2022,DROM,60-74 ans,F,F,495411,5
2022,DROM,60-74 ans,M,M,442701,5
2022,DROM,75+ ans,ALL,Ensemble,394767,5
2022,DROM,75+ ans,F,F,233496,5
2022,DROM,75+ ans,M,M,161271,5
2022,Grand Est,0-19 ans,ALL,Ensemble,2512290,1
2022,Grand Est,0-19 ans,F,F,1221928,1
2022,Grand Est,0-19 ans,M,M,1290362,1
2022,Grand Est,20-39 ans,ALL,Ensemble,2614822,1
2022,Grand Est,20-39 ans,F,F,1296548,1
2022,Grand Est,20-39 ans,M,M,1318274,1
2022,Grand Est,40-59 ans,ALL,Ensemble,2897130,1
2022,Grand Est,40-59 ans,F,F,1461066,1
2022,Grand Est,40-59 ans,M,M,1436064,1
2022,Grand Est,60-74 ans,ALL,Ensemble,2036156,1
2022,Grand Est,60-74 ans,F,F,1069928,1
2022,Grand Est,60-74 ans,M,M,966228,1
2022,Grand Est,75+ ans,ALL,Ensemble,1059760,1
2022,Grand Est,75+ ans,F,F,643100,1
2022,Grand Est,75+ ans,M,M,416660,1
2022,Grand-Est,0-19 ans,ALL,Ensemble,1220870,1
2022,Grand-Est,0-19 ans,F,F,593879,1
2022,Grand-Est,0-19 ans,M,M,626991,1
2022,Grand-Est,20-39 ans,ALL,Ensemble,1272673,1
2022,Grand-Est,20-39 ans,F,F,631847,1
2022,Grand-Est,20-39 ans,M,M,640826,1
2022,Grand-Est,40-59 ans,ALL,Ensemble,1405671,1
2022,Grand-Est,40-59 ans,F,F,709145,1
2022,Grand-Est,40-59 ans,M,M,696526,1
2022,Grand-Est,60-74 ans,ALL,Ensemble,981796,1
2022,Grand-Est,60-74 ans,F,F,516096,1
2022,Grand-Est,60-74 ans,M,M,465700,1
2022,Grand-Est,75+ ans,ALL,Ensemble,509204,1
2022,Grand-Est,75+ ans,F,F,309005,1
2022,Grand-Est,75+ ans,M,M,200199,1
2022,Hauts-de-France,0-19 ans,ALL,Ensemble,4530648,1
2022,Hauts-de-France,0-19 ans,F,F,2209992,1
2022,Hauts-de-France,0-19 ans,M,M,2320656,1
2022,Hauts-de-France,20-39 ans,ALL,Ensemble,4346580,1
2022,Hauts-de-France,20-39 ans,F,F,2182119,1
2022,Hauts-de-France,20-39 ans,M,M,2164461,1
2022,Hauts-de-France,40-59 ans,ALL,Ensemble,4585188,1
2022,Hauts-de-France,40-59 ans,F,F,2316150,1
2022,Hauts-de-France,40-59 ans,M,M,2269038,1
2022,Hauts-de-France,60-74 ans,ALL,Ensemble,3047517,1
2022,Hauts-de-France,60-74 ans,F,F,1627668,1
2022,Hauts-de-France,60-74 ans,M,M,1419849,1
2022,Hauts-de-France,75+ ans,ALL,Ensemble,1486815,1
2022,Hauts-de-France,75+ ans,F,F,932199,1
2022,Hauts-de-France,75+ ans,M,M,554616,1
2022,Ile-de-France,0-19 ans,ALL,Ensemble,3099637,1
2022,Ile-de-France,0-19 ans,F,F,1517171,1
2022,Ile-de-France,0-19 ans,M,M,1582466,1
2022,Ile-de-France,20-39 ans,ALL,Ensemble,3458335,1
2022,Ile-de-France,20-39 ans,F,F,1777125,1
2022,Ile-de-France,20-39 ans,M,M,1681210,1
2022,Ile-de-France,40-59 ans,ALL,Ensemble,3228507,1
2022,Ile-de-France,40-59 ans,F,F,1645676,1
2022,Ile-de-France,40-59 ans,M,M,1582831,1
2022,Ile-de-France,60-74 ans,ALL,Ensemble,1702309,1
2022,Ile-de-France,60-74 ans,F,F,913961,1
2022,Ile-de-France,60-74 ans,M,M,788348,1
2022,Ile-de-France,75+ ans,ALL,Ensemble,892176,1
2022,Ile-de-France,75+ ans,F,F,538341,1
2022,Ile-de-France,75+ ans,M,M,353835,1
2022,Normandie,0-19 ans,ALL,Ensemble,2334489,1
2022,Normandie,0-19 ans,F,F,1135398,1
2022,Normandie,0-19 ans,M,M,1199091,1
2022,Normandie,20-39 ans,ALL,Ensemble,2231955,1
2022,Normandie,20-39 ans,F,F,1114302,1
2022,Normandie,20-39 ans,M,M,1117653,1
2022,Normandie,40-59 ans,ALL,Ensemble,2526090,1
2022,Normandie,40-59 ans,F,F,1282014,1
2022,Normandie,40-59 ans,M,M,1244076,1
2022,Normandie,60-74 ans,ALL,Ensemble,1892577,1
